#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
OlympiqueLyonnais,EAGuingamp,5,1,2016,29,96,45
ParisSaint-Germain,MontpellierHéraultSC,0,0,2016,29,101,88
SCBastia,FCLorient,0,0,2016,29,118,59
SMCaen,ASMonaco,2,2,2016,29,123,20
StadeBrestois29,USCréteil-Lusitanos,2,1,2016,29,131,147
StadeLavallois,RCLens,1,1,2016,29,136,106
StadeRennaisFC,FCNantes,4,1,2016,29,138,65
ToursFC,FCSochaux-Montbéliard,1,0,2016,29,141,69
ACAjaccio,ASNancyLorraine,2,1,2016,28,2,21
ASSaint-Etienne,SMCaen,1,2,2016,28,24,123
ChamoisNiortais,HavreAC,0,0,2016,28,31,77
DijonFCO,ToursFC,3,0,2016,28,43,141
EAGuingamp,AngersSCO,2,2,2016,28,45,9
ESTACTroyes,FCLorient,0,1,2016,28,49,59
FBBP01,ClermontFoot,1,2,2016,28,53,34
FCMetz,StadeBrestois29,2,2,2016,28,61,131
FCNantes,ASMonaco,0,0,2016,28,65,20
GazélecFCAjaccio,OlympiquedeMarseille,1,1,2016,28,72,94
MontpellierHéraultSC,LOSC,3,0,2016,28,88,84
OGCNice,SCBastia,0,2,2016,28,91,118
OlympiqueLyonnais,ParisSaint-Germain,2,1,2016,28,96,101
ParisFC,AJAuxerre,2,2,2016,28,99,6
RCLens,EvianTGFC,1,0,2016,28,106,51
RedStarFC,NîmesOlympique,1,0,2016,28,112,90
StadedeReims,GirondinsdeBordeaux,4,1,2016,28,134,74
ToulouseFC,StadeRennaisFC,1,2,2016,28,140,138
USCréteil-Lusitanos,StadeLavallois,0,0,2016,28,147,136
ValenciennesFC,FCSochaux-Montbéliard,2,2,2016,28,155,69
AJAuxerre,ACAjaccio,0,0,2016,27,6,2
AngersSCO,MontpellierHéraultSC,2,3,2016,27,9,88
ASMonaco,ESTACTroyes,3,1,2016,27,20,49
ASNancyLorraine,ParisFC,3,2,2016,27,21,99
ClermontFoot,ChamoisNiortais,2,1,2016,27,34,31
EvianTGFC,FBBP01,1,1,2016,27,51,53
FCLorient,EAGuingamp,4,3,2016,27,59,45
FCSochaux-Montbéliard,RCLens,0,0,2016,27,69,106
GirondinsdeBordeaux,OGCNice,0,0,2016,27,74,91
HavreAC,USCréteil-Lusitanos,1,0,2016,27,77,147
LOSC,OlympiqueLyonnais,1,0,2016,27,84,96
NîmesOlympique,FCMetz,2,1,2016,27,90,61
OlympiquedeMarseille,ASSaint-Etienne,1,1,2016,27,94,24
ParisSaint-Germain,StadedeReims,4,1,2016,27,101,134
SCBastia,FCNantes,0,0,2016,27,118,65
SMCaen,StadeRennaisFC,1,0,2016,27,123,138
StadeBrestois29,RedStarFC,0,1,2016,27,131,112
StadeLavallois,DijonFCO,2,2,2016,27,136,43
ToulouseFC,GazélecFCAjaccio,1,1,2016,27,140,72
ToursFC,ValenciennesFC,1,0,2016,27,141,155
ACAjaccio,ClermontFoot,3,1,2016,26,2,34
AJAuxerre,ASNancyLorraine,2,2,2016,26,6,21
ASSaint-Etienne,ASMonaco,1,1,2016,26,24,20
ChamoisNiortais,StadeBrestois29,1,2,2016,26,31,131
DijonFCO,FCSochaux-Montbéliard,2,2,2016,26,43,69
EAGuingamp,GirondinsdeBordeaux,2,4,2016,26,45,74
FBBP01,StadeLavallois,0,0,2016,26,53,136
FCMetz,HavreAC,0,1,2016,26,61,77
FCNantes,FCLorient,2,1,2016,26,65,59
GazélecFCAjaccio,ESTACTroyes,2,3,2016,26,72,49
